time	V(v_out)	I(I1)
7.904035714285941e-04	4.960093e+00	8.272643e-01
7.911964285714516e-04	4.960339e+00	8.415357e-01
7.919892857143092e-04	4.960589e+00	8.558071e-01
7.927821428571669e-04	4.960841e+00	8.700786e-01
7.935750000000244e-04	4.961097e+00	8.843500e-01
7.944821428571678e-04	4.961387e+00	9.006786e-01
7.953892857143111e-04	4.961676e+00	9.170071e-01
7.962964285714545e-04	4.961963e+00	9.333357e-01
7.972035714285979e-04	4.962249e+00	9.496643e-01
7.981107142857413e-04	4.962532e+00	9.659929e-01
7.990178571428846e-04	4.962814e+00	9.823214e-01
7.999250000000280e-04	4.963094e+00	9.986500e-01
7.999750000000281e-04	4.963109e+00	9.995500e-01
8.000000000000000e-04	4.963117e+00	1.000000e+00
8.000050000000000e-04	4.963122e+00	1.000000e+00
8.000150000000001e-04	4.963131e+00	1.000000e+00
8.000350000000000e-04	4.963150e+00	1.000000e+00
8.000750000000000e-04	4.963188e+00	1.000000e+00
8.001250000000001e-04	4.963237e+00	1.000000e+00
8.001750000000001e-04	4.963286e+00	1.000000e+00
8.002250000000001e-04	4.963337e+00	1.000000e+00
8.002750000000001e-04	4.963388e+00	1.000000e+00
8.003250000000002e-04	4.963440e+00	1.000000e+00
8.003750000000002e-04	4.963493e+00	1.000000e+00
8.004250000000002e-04	4.963546e+00	1.000000e+00
8.004750000000003e-04	4.963600e+00	1.000000e+00
8.005250000000003e-04	4.963655e+00	1.000000e+00
8.005750000000003e-04	4.963709e+00	1.000000e+00
8.006250000000003e-04	4.963765e+00	1.000000e+00
8.006750000000004e-04	4.963820e+00	1.000000e+00
8.007250000000004e-04	4.963877e+00	1.000000e+00
8.007750000000004e-04	4.963933e+00	1.000000e+00
8.008250000000005e-04	4.963990e+00	1.000000e+00
8.008750000000005e-04	4.964046e+00	1.000000e+00
8.009250000000005e-04	4.964103e+00	1.000000e+00
8.009750000000005e-04	4.964160e+00	1.000000e+00
8.010250000000006e-04	4.964218e+00	1.000000e+00
8.010750000000006e-04	4.964275e+00	1.000000e+00
8.011250000000006e-04	4.964332e+00	1.000000e+00
8.011750000000006e-04	4.964389e+00	1.000000e+00
8.012250000000007e-04	4.964447e+00	1.000000e+00
8.012750000000007e-04	4.964504e+00	1.000000e+00
8.013250000000007e-04	4.964561e+00	1.000000e+00
8.013750000000008e-04	4.964618e+00	1.000000e+00
8.014250000000008e-04	4.964675e+00	1.000000e+00
8.014750000000008e-04	4.964732e+00	1.000000e+00
8.015250000000008e-04	4.964788e+00	1.000000e+00
8.016250000000009e-04	4.964901e+00	1.000000e+00
8.017250000000010e-04	4.965014e+00	1.000000e+00
8.018250000000010e-04	4.965125e+00	1.000000e+00
8.019250000000011e-04	4.965236e+00	1.000000e+00
8.020250000000011e-04	4.965345e+00	1.000000e+00
8.021250000000012e-04	4.965455e+00	1.000000e+00
8.022750000000013e-04	4.965616e+00	1.000000e+00
8.024250000000014e-04	4.965776e+00	1.000000e+00
8.024964285714300e-04	4.965852e+00	1.000000e+00
8.025678571428586e-04	4.965928e+00	1.000000e+00
8.026392857142871e-04	4.966003e+00	1.000000e+00
8.027107142857159e-04	4.966078e+00	1.000000e+00
8.027821428571444e-04	4.966152e+00	1.000000e+00
8.028535714285730e-04	4.966226e+00	1.000000e+00
8.029250000000016e-04	4.966300e+00	1.000000e+00
